symbol,suffix
20MICRONS,NS
3IINFOTECH,NS
3MINDIA,NS
AARTIDRUGS,NS
AARTIIND,NS
AARVEEDEN,NS
ABAN,NS
ABB,NS
ABCIL,NS
ABGSHIP,NS
ABHISHEK,NS
ABIRLANUVO,NS
ABSHEKINDS,NS
ACC,NS
ACE,NS
ACKRUTI,NS
ADANIENT,NS
ADANIPOWER,NS
ADHUNIK,NS
ADLABSFILM,NS
ADORWELD,NS
ADSL,NS
ADVANTA,NS
AEGISCHEM,NS
AFL,NS
AFTEK,NS
AGRODUTCH,NS
AHMEDFORGE,NS
AIAENG,NS
AICHAMP,NS
AJANTPHARM,NS
AJMERA,NS
AKSHOPTFBR,NS
ALBK,NS
ALCHEM,NS
ALEMBICLTD,NS
ALFALAVAL,NS
ALKALI,NS
ALKYLAMINE,NS
ALLCARGO,NS
ALMONDZ,NS
ALOKTEXT,NS
ALPSINDUS,NS
AMAR,NS
AMARAJABAT,NS
AMBIKCO,NS
AMBUJACEM,NS
AMDIND,NS
AMTEKAUTO,NS
AMTEKINDIA,NS
ANANTRAJ,NS
ANDHRABANK,NS
ANDHRSUGAR,NS
ANIKINDS,NS
ANKURDRUGS,NS
ANSALHSG,NS
ANSALINFRA,NS
ANTGRAPHIC,NS
APARINDS,NS
APCOTEXIND,NS
APIL,NS
APOLLOHOSP,NS
APOLLOTYRE,NS
APPAPER,NS
APTECHT,NS
ARCHIDPLY,NS
AREVAT&D,NS
ARL,NS
AROGRANITE,NS
ARVIND,NS
ASAHIINDIA,NS
ASAL,NS
ASHCO,NS
ASHIMASYN,NS
ASHOKLEY,NS
ASIANELEC,NS
ASIANHOTEL,NS
ASIANPAINT,NS
ASIANTILES,NS
ASIL,NS
ASSAMCO,NS
ASTRAL,NS
ASTRAMICRO,NS
ASTRAZEN,NS
ATFL,NS
ATLANTA,NS
ATLASCYCLE,NS
ATNINTER,NS
ATUL,NS
AURIONPRO,NS
AUROPHARMA,NS
AUSTRAL,NS
AUTOIND,NS
AVAYAGCL,NS
AVENTIS,NS
AVTNPL,NS
AXISBANK,NS
BAGFILMS,NS
BAJAJ-AUTO,NS
BAJAJELEC,NS
BAJAJFINSV,NS
BAJAJHIND,NS
BAJAJHLDNG,NS
BAJAUTOFIN,NS
BALAJITELE,NS
BALAMINES,NS
BALKRISIND,NS
BALLARPUR,NS
BALMLAWRIE,NS
BALRAMCHIN,NS
BANARISUG,NS
BANCOINDIA,NS
BANG,NS
BANKBARODA,NS
BANKBEES,NS
BANKINDIA,NS
BANKRAJAS,NS
BANSWRAS,NS
BARTRONICS,NS
BASF,NS
BASML,NS
BATAINDIA,NS
BATLIBOI,NS
BBL,NS
BEL,NS
BELCERAMIC,NS
BEML,NS
BEPL,NS
BERGEPAINT,NS
BFUTILITIE,NS
BGRENERGY,NS
BHAGWATIHO,NS
BHAGYNAGAR,NS
BHARATFORG,NS
BHARATRAS,NS
BHARTIARTL,NS
BHARTISHIP,NS
BHEL,NS
BHUSANSTL,NS
BIL,NS
BILPOWER,NS
BINANICEM,NS
BINANIIND,NS
BINDALAGRO,NS
BIOCON,NS
BIRLACORPN,NS
BIRLAERIC,NS
BIRLAMONEY,NS
BIRLAPOWER,NS
BLKASHYAP,NS
BLUEBIRD,NS
BLUECHIP,NS
BLUECOAST,NS
BLUEDART,NS
BLUESTARCO,NS
BLUESTINFO,NS
BOC,NS
BOMDYEING,NS
BOSCHLTD,NS
BPCL,NS
BPL,NS
BRABOURNE,NS
BRANDHOUSE,NS
BRFL,NS
BRIGADE,NS
BRITANNIA,NS
BSELINFRA,NS
BSL,NS
BURNPUR,NS
CADILAHC,NS
CAIRN,NS
CALSOFT,NS
CAMBRIDGE,NS
CAMLIN,NS
CANBK,NS
CANDC,NS
CANFINHOME,NS
CARBORUNIV,NS
CAROLINFO,NS
CASTROL,NS
CCCL,NS
CCL,NS
CEATLTD,NS
